WORLD,71,69,73,269,136,Ñ,Ñ,78,76,1.03,0.66,34,20,7336,20,8,Ñ,8505,9804,37,2.5,26,8,15030,53,523,62,56
WORLD MOREDeveloped,79,76,82,25,15,Ñ,Ñ,104,104,1.27,0.79,48,23,1254,11,10,2,1295,1310,5,1.7,16,17,39020,77,238,67,59
LESSDeveloped,69,68,72,338,159,Ñ,Ñ,74,71,0.99,0.63,28,19,6082,22,7,-1,7210,8495,40,2.6,28,6,9870,48,696,61,55
LESSDeveloped (Excl. China),68,66,70,443,200,0.4,0.7,69,66,0.94,0.56,28,17,4702,24,7,0,5779,7120,44,3,32,5,8740,46,612,54,46
LEASTDeveloped,62,60,63,900,384,0.5,0.8,46,40,0.66,0.79,27,22,938,34,9,-1,1300,1887,62,4.3,40,4,2270,29,521,37,32
AFRICA,60,58,61,801,412,0.9,1.5,54,49,Ñ,0.73,30,21,1171,36,10,0,1658,2473,59,4.7,41,4,4720,40,487,35,29
SUB-SAHARAN AFRICA,57,56,59,964,488,1.1,1.9,49,42,Ñ,0.84,35,21,949,38,11,0,1369,2081,64,5,43,3,3480,38,484,30,25
NORTHERN AFRICA,71,69,72,242,118,<0.1,<0.1,78,75,1.09,0.32,20,Ñ,222,29,6,-1,289,392,29,3.4,31,5,9740,51,500,51,46
Algeria,74,72,77,160,89,<0.1,<0.1,96,100,1.51,0.21,18,26,39.9,26,6,-1,49.9,60.4,21,3,28,6,13540,73,524,56,48
Egypt,71,70,73,120,45,<0.1,<0.1,90,88,0.89,0.32,19,Ñ,89.1,31,6,0,117.9,162.4,22,3.5,31,4,11020,43,3196,59,57
Libya,71,69,74,31,15,Ñ,Ñ,Ñ,Ñ,Ñ,0.39,Ñ,16,6.3,21,4,-11,7.5,8.4,14,2.4,29,5,16190,78,359,42,20
Morocco,74,73,75,310,120,<0.1,<0.1,74,63,0.89,0.35,22,11,34.1,22,6,-2,38.7,41.9,26,2.5,25,6,7180,60,425,67,57
Sudan,62,60,64,720,360,0.1,0.2,43,39,1.12,0.41,Ñ,Ñ,40.9,38,9,-2,61.7,105,52,5.2,43,3,3980,33,193,12,12
Tunisia,76,74,78,91,46,<0.1,<0.1,89,93,1.62,0.35,28,31,11,19,6,-1,12.3,12.9,16,2.1,23,8,10600,68,388,63,50
Western Saharae,68,66,70,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.6,20,6,9,0.8,0.8,37,2.4,26,3,Ñ,82,Ñ,Ñ,Ñ
WESTERN AFRICA,55,54,56,1053,539,0.6,1,47,40,Ñ,0.76,Ñ,10,349,39,12,-1,509,784,64,5.4,43,3,4040,45,402,16,12
Benin,59,58,61,600,340,0.2,0.4,65,43,0.27,0.86,26,7,10.6,37,10,0,15.1,21.5,67,4.9,45,3,1850,45,393,18,13
Burkina Faso,56,56,57,770,400,0.4,0.5,31,26,0.49,0.86,Ñ,13,18.5,44,11,-1,28.4,46.6,69,6,45,2,1660,27,308,18,18
Cape Verde,75,71,80,230,53,0.8,0.3,89,103,1.46,0.62,Ñ,21,0.5,21,6,-2,0.6,0.7,22,2.4,31,6,6320,62,1090,61,57
C™te dÕIvoire,51,50,52,740,720,0.9,1.4,46,32,0.62,0.64,21,9,23.3,37,14,0,32,46.3,74,4.9,41,3,3350,50,805,18,13
Gambia,59,58,60,710,430,0.4,0.7,59,56,Ñ,0.87,Ñ,9,2,42,10,-1,3.1,5,47,5.6,46,2,1580,57,459,9,8
Ghana,61,60,63,760,380,0.4,0.6,69,65,0.63,0.94,32,11,27.7,33,8,-2,37.7,52.6,41,4.2,39,5,3960,51,588,27,22
Guinea,60,58,61,1100,650,0.4,0.7,47,29,0.44,0.84,18,22,11,38,12,0,16,24.2,67,5.1,42,3,1140,36,366,6,5
Guinea-Bissau,54,53,56,930,560,0.8,1.5,Ñ,Ñ,Ñ,0.87,Ñ,14,1.8,37,13,-1,2.5,3.5,92,4.9,43,3,1430,49,594,16,14
Liberia,60,59,61,1200,640,0.3,0.4,42,33,0.63,0.9,24,11,4.5,36,9,-1,6.4,9.4,54,4.7,42,3,820,47,899,20,19
Mali,53,53,53,1100,550,0.5,0.7,50,40,0.43,0.62,Ñ,9,16.7,44,15,-4,26.1,43.6,56,5.9,47,3,1660,39,245,10,10
Mauritania,63,62,64,630,320,0.2,0.4,30,29,0.44,0.36,Ñ,22,3.6,34,9,-1,5,7.1,72,4.2,40,3,3700,59,883,11,10
Niger,60,59,61,1000,630,<0.1,0.2,22,15,0.34,0.45,36,13,18.9,50,11,0,33.8,68,60,7.6,52,4,950,22,118,14,12
Nigeria,52,52,53,1200,560,0.7,1.3,46,41,Ñ,0.76,Ñ,5,181.8,39,14,0,261.7,396.5,69,5.5,43,3,5680,50,520,15,10
Senegal,65,63,67,530,320,0.1,0.1,43,39,0.59,0.75,27,43,14.7,37,8,-1,21.5,32.3,33,5,42,4,2290,45,439,22,20
Sierra Leone,50,50,51,2300,1100,0.2,0.4,48,42,Ñ,0.95,Ñ,12,6.5,37,14,-1,8.3,10.6,92,4.9,41,3,1830,41,375,17,16
Togo,57,56,57,660,450,0.5,0.8,Ñ,Ñ,0.39,0.99,Ñ,18,7.2,38,11,0,10.5,16.3,49,4.8,42,3,1310,38,273,20,17
EASTERN AFRICA,61,59,63,1034,440,1.3,1.9,41,38,Ñ,0.92,36,28,388,36,9,0,562,841,52,4.8,43,3,1930,24,560,41,35
Burundi,59,57,61,1300,740,0.3,0.4,37,29,0.42,1.02,Ñ,35,10.7,43,10,0,17.2,30.4,65,6.2,46,3,790,10,977,22,18
Comoros,61,60,62,630,350,Ñ,Ñ,63,65,0.86,0.44,Ñ,3,0.8,33,9,-3,1,1.3,36,4.3,41,3,1530,28,868,19,14
Djibouti,62,60,63,400,230,0.5,0.8,53,43,0.68,0.54,Ñ,13,0.9,27,9,-3,1.1,1.2,58,3.4,34,4,Ñ,77,38827,19,18
Eritrea,63,60,65,1700,380,0.2,0.3,Ñ,Ñ,0.5,0.89,Ñ,22,5.2,37,7,-5,7.3,10.4,46,4.4,43,2,1180,21,981,8,7
Ethiopia,64,62,65,1400,420,0.5,0.6,Ñ,Ñ,Ñ,0.88,39,26,98.1,31,8,0,130.5,165.1,49,4.1,41,4,1500,17,641,42,40
Kenya,62,60,65,490,400,Ñ,Ñ,69,65,0.7,0.86,36,21,44.3,31,8,0,60.1,81.4,39,3.9,41,3,2890,24,794,58,53
Madagascar,65,64,66,740,440,0.2,0.1,39,38,0.94,0.96,37,21,23,34,7,0,34.3,52.8,38,4.4,41,3,1400,33,660,40,33
Malawi,61,60,62,1100,510,2.4,4.1,38,35,0.65,1.04,Ñ,17,17.2,37,11,0,24.7,36.6,53,5,44,3,780,16,458,59,57
Mauritius,74,71,78,70,73,0.2,0.2,94,98,1.22,0.59,38,12,1.3,11,8,-1,1.3,1.2,14.5,1.4,20,9,18290,41,1663,76,39
