country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
Arab World,5.75211619163441,28.68442127086,68.6869288312141,0.125532129704689,4.26227212098414,3.37487048589565,289.0,32.3420450126562
Caribbean small states,7.13882374754051,17.1730674653484,70.1729970559481,,8.16896294079908,2.0768111857922,94.0,46.2943443660586
Central Europe and the Baltics,11.3557735472932,5.75444679938411,72.9882056462949,,16.5553240833972,1.37780720780116,41.0,63.28363087188
East Asia & Pacific (all income levels),7.2420824189963,14.8024072437836,72.877206956849,,9.31921586280882,1.78071185938363,159.0,44.4131682981947
East Asia & Pacific (developing only),7.14213020950435,15.6,72.1219377141789,,8.10838128648003,1.81422910334027,168.0,39.3927562830112
Euro area,9.50448187554609,3.37751130919987,79.031034943139,,19.685539224783,1.52513224443778,11.0,75.8107273235715
Europe & Central Asia (all income levels),9.90241016587952,10.0556824677897,73.6473595984555,,15.3753171365515,1.71242353576024,44.0,66.3437911026682
Europe & Central Asia (developing only),8.94280099747612,18.5,69.0419172263361,,9.98187911110792,1.98192886770182,73.0,44.493437392318
European Union,9.7341124753463,3.83930209778778,78.0397328149528,,18.841450494669,1.54384111090945,18.0,75.5357802492714
Fragile and conflict affected situations,8.8676911851232,56.7860813756305,60.1331807495479,0.717579854869128,3.42593672251813,4.40891964120133,793.0,10.0254929501872
Heavily indebted poor countries (HIPC),9.01826779433558,54.8014264750496,59.333940898997,1.05397084016838,3.12636676920899,4.96592565156439,957.0,7.33223232197759
High income,8.76584615924494,6.0,76.3944122528127,,16.0453759674614,1.71868969250121,27.0,78.1411817060543
High income: nonOECD,9.12047745305788,10.5128280917312,69.6660413275497,,10.4285480149753,1.97421812962532,67.0,66.9562184387081
High income: OECD,8.656990575182,4.2111786074409,78.3357328828263,,17.6452340457644,1.6401263978885,13.0,81.5197762652624
Latin America & Caribbean (all income levels),5.90184598238424,15.5573155199873,71.7873302949535,,7.39221559613183,2.11410228057008,135.0,46.5441948546349
Latin America & Caribbean (developing only),5.76200762681435,16.2,71.5694350206089,,6.97188276091601,2.10140626083308,145.0,43.9374909689668
Least developed countries: UN classification,8.23277271185722,52.8314581319777,61.7606034951786,0.796160056172793,3.55272398828142,4.18913166669415,903.0,7.14626694531887
Low & middle income,7.50537326452847,36.3,67.7934147860438,,6.23799978278583,2.60726109954444,435.0,28.2673865232236
Low income,8.93508032111845,54.6,59.7953577608572,1.15734247328642,3.39904607560509,4.77713431214767,1020.0,5.6079137400841
Lower middle income,7.62933426485744,41.2,65.501597368565,,5.1526854889796,2.84639681138947,531.0,19.5417877225702
Middle East & North Africa (all income levels),5.1624418822851,20.2325768194152,70.9965278936891,0.102283549608492,4.68315088013238,2.84720073017001,166.0,34.6695582274081
Middle East & North Africa (developing only),5.49208601744812,21.4,70.2110777860273,0.102308695669338,4.86090723948229,2.88338071341781,181.0,28.9703416630502
Middle income,7.33563986351207,32.1,68.7227402122407,,6.57515487259664,2.37526591197463,356.0,30.7779025857908
North America,8.0297163663658,5.58584622631956,76.9433852205174,,14.5202146624196,1.83592658939999,11.0,84.3604738834816
Not classified,,,,,,,,
OECD members,8.10035275978874,6.0872859875248,77.56013533854,,15.9140406868213,1.7385522148318,32.0,75.7507877393129
Other small states,9.2536103819889,46.5660643524338,60.8538740651811,5.11551331251468,4.40959517125758,3.56510057686272,619.0,16.3235548199473
Pacific island small states,6.15396610328382,22.7327203539501,67.5652901200606,,4.68891640939084,3.27692552106002,176.0,22.924659165957
Small states,8.53911666531179,40.4481654533966,63.483960211136,4.11545179933053,5.29166854552983,3.19164357513822,473.0,24.0261275686891
South Asia,7.16008231070252,43.3,66.7523542670948,,5.31491610778929,2.5576526182918,558.0,13.7500065422469
Sub-Saharan Africa (all income levels),10.160476020861,57.9324117271995,57.2860293092339,1.75786846957181,3.09083773897834,4.97141678757609,987.0,16.8736596876995
Sub-Saharan Africa (developing only),10.1601793130233,57.9,57.2857972186577,1.75721198854629,3.09067947188609,4.97180785870434,987.0,16.8707167168141
Upper middle income,6.97751585860519,15.7,72.6658032871753,,8.30858178185885,1.82517941337502,117.0,44.0676908208303
World,7.74812295535885,32.6,69.3909133322437,0.4,8.10133815832382,2.45354799914227,385.0,37.9913162519146
Afghanistan,8.23,68.1,59.193,0.1,2.43468454325801,4.843,1340.0,5.9
Albania,7.35,12.9,75.369,,12.0622519618116,1.784,71.0,57.2
Algeria,5.125,22.0,72.512,0.1,5.80344587376273,2.857,216.0,16.5
American Samoa,,,,,,,,
Andorra,,2.1,,,,,,94.0
Angola,13.72,98.8,50.802,1.1,2.30859331725355,6.08,1160.0,19.1
Antigua and Barbuda,6.111,6.1,73.543,,7.11551155115511,2.075,,63.4
